,ordinal,date_info,name,title,content,category,advantages,disadvantages,rating,language,helpful,unhelpful,doubleQuality,verified,product_id,product_source,auction_number,product_name,product_url,product_origin,positivePhrases,neutralPhrases,negativePhrases
1674,1675,2022.05.19,Naji,Tolles Produkt,"Reinigt und riecht gut, universal megaperls ist deutlich besser als universal pullver, den Preis spricht für sich",positive,,,5,DEU,0.0,1.0,True,True,de095011-62b7-4c82-b98e-a9390876d1dc,dm.de,4015000968119,Persil Colorwaschmittel Megaperls 18 WL,https://www.rossmann.de/de/p/4015000968119,DEU,0,0,0
1690,1691,2022.10.12,gutti,Reinheitsklassiker,"Oft kopiert und nie erreicht. Das Original ist mit Abstand das beste! Unschlagbar, besonders bei 60° freut ich mich immer über das tolle waschergebnis. Flecken gehen ohne Vorbehandlung raus und der Duft ist dezent und frisch. Besser gehts nimmer. Dafür zahl ich gern ein paar Euro mehr.",positive,,,5,DEU,7.0,0.0,True,True,de095011-62b7-4c82-b98e-a9390876d1dc,dm.de,4015000968119,Persil Colorwaschmittel Megaperls 18 WL,https://www.rossmann.de/de/p/4015000968119,DEU,0,0,0
3169,3170,2020-09-02T17:38:12.186Z,w...2,,Spodziewałam się lepszej jakosci. Proszek nie wyróżnia się niczym od zwykłego proszku. ,neutral,,,3,POL,4.0,5.0,True,True,474fba0e-d34e-446e-b782-8575b7914a07,https://allegro.pl/,12304387186,"Proszek do prania kolorów Ariel 7,5 kg",https://allegro.pl/oferta/ariel-color-professional-proszek-do-prania-7-5-kg-12304387186,CZE,0,0,0
3211,3212,2022-04-19T05:17:53.009Z,M...2,,Dużo kilo. Nie pachnie jak niemiecki,positive,,,4,POL,,,True,True,474fba0e-d34e-446e-b782-8575b7914a07,https://allegro.pl/,12304387186,"Proszek do prania kolorów Ariel 7,5 kg",https://allegro.pl/oferta/ariel-color-professional-proszek-do-prania-7-5-kg-12304387186,CZE,0,0,1
3347,3348,2020-06-04T12:46:29.485Z,C...0,,"Tutaj uwaga do tych co piszą, że kod kreskowy zaczyna się na 8 zamiast 4. Kupując w sklepie Niemieckim (za granicą) jest dokładnie tak samo. Jednak widać po produkcie, że nie jest to produkt przeznaczony na rynek Polski.",positive,,,5,POL,4.0,,True,True,6332818b-5c0a-4b72-a588-7c9d6d88ba9a,https://allegro.pl/,12553024470,"Proszek do prania uniwersalne Ariel 6,5 kg",https://allegro.pl/oferta/proszek-ariel-strahlend-rein-100-pran-de-12553024470,DEU,0,0,0
3348,3349,2021-12-19T19:55:38.476Z,P...t,,"Zdecydowanie lepszy niż polski odpowiednik, Polecam",positive,,,5,POL,3.0,,True,True,6332818b-5c0a-4b72-a588-7c9d6d88ba9a,https://allegro.pl/,12553024470,"Proszek do prania uniwersalne Ariel 6,5 kg",https://allegro.pl/oferta/proszek-ariel-strahlend-rein-100-pran-de-12553024470,DEU,1,0,0
3357,3358,2021-04-09T07:21:40.361Z,a...a,,Ariel z Niemiec jak do tej pory mnie nie zawiódł! Wszystko czyste i doprane! Polecam!!!,positive,,,5,POL,3.0,,True,True,6332818b-5c0a-4b72-a588-7c9d6d88ba9a,https://allegro.pl/,12553024470,"Proszek do prania uniwersalne Ariel 6,5 kg",https://allegro.pl/oferta/proszek-ariel-strahlend-rein-100-pran-de-12553024470,DEU,1,0,0
3439,3440,2022-02-01T18:30:14.737Z,p...5,,"Mam wrażenie,  że to jakaś gorsza wersja. Nie pierze tak dobrze jak ten, który kupiłam w sklepie. ",positive,,,4,POL,,,True,True,eacee503-6445-4052-8eea-62e41af21302,https://allegro.pl/,12237021932,"Proszek do prania uniwersalne Ariel 5,059 kg",https://allegro.pl/oferta/proszek-do-prania-kolor-ariel-4-725-kg-12237021932,POL,0,0,0
3470,3471,2022-09-03T02:28:03.462Z,a...s,,"Moj ulubiony proszek. Super zapach, swietnie pierze (lepiej niz niemieckie te drozsze slawne, ktore maja dodatkowo mase innych minusow), i nie uczula.",positive,,,5,POL,4.0,,True,True,50963892-085e-421e-ba2a-7d82c9f2d5e0,https://allegro.pl/,11425853900,"2× Proszek do prania kolorów Bryza 6,825 kg",https://allegro.pl/oferta/bryza-proszek-do-prania-2xcolor-13-65kg-210-pran-11425853900,POL,0,0,0
4818,4819,2021-10-23T19:25:21.693Z,s...c,,"Proszek Gama z Vizirem raczej nie ma nic wspólnego. Nie dopiera i po praniu nie pachnie jak niemiecki Vizir. Ba, on jest nawet słabszy niż polski vizir.",negative,,,2,POL,9.0,3.0,True,True,bb88fbeb-e5c2-4374-adc6-11f578883980,https://allegro.pl/,7240101683,"Proszek do prania uniwersalne Gama 6,5 kg",https://allegro.pl/oferta/proszek-vizir-do-prania-bialych-i-kolorowych-6-5kg-7240101683,DEU,0,0,2
4820,4821,2020-06-23T15:34:35.637Z,M...Z,,"Za te pieniądze całkiem niezły proszek. Na pewno lepszy od tych w naszych marketach. Intensywny zapach, dobrze pierze, choć z większymi plamami jest czasem problem . Nie jest to jakaś super-mega -rewelacja (proszek nie jest produkowany w Niemczech ), ale i tak warto kupić. :) ",positive,,,5,POL,10.0,6.0,True,True,bb88fbeb-e5c2-4374-adc6-11f578883980,https://allegro.pl/,7240101683,"Proszek do prania uniwersalne Gama 6,5 kg",https://allegro.pl/oferta/proszek-vizir-do-prania-bialych-i-kolorowych-6-5kg-7240101683,DEU,1,0,0
4821,4822,2021-01-17T18:08:21.011Z,l...l,,"Kupuję go dlatego że proszki produkowane na Europę wschodnią mają w swoim składzie więcej wypełniaczy ( kredy ) niż te w niemczech. Początkowo niemcy ( tak, z małej litery ) tłumaczyli to uwarunkowaniami klimatycznymi ale gdy ich agrument został wyśmiany, stwierdzili że Polacy zbyt dużo sypią proszku na każde pranie i stąd większa ilość kredy w produkcie. ",positive,,,5,POL,8.0,5.0,True,True,bb88fbeb-e5c2-4374-adc6-11f578883980,https://allegro.pl/,7240101683,"Proszek do prania uniwersalne Gama 6,5 kg",https://allegro.pl/oferta/proszek-vizir-do-prania-bialych-i-kolorowych-6-5kg-7240101683,DEU,0,0,0
4914,4915,2021-12-22T10:58:48.066Z,A...o,,Bardzo dobry super co Niemieckie to Niemiecki .,positive,,,5,POL,,,True,True,bb88fbeb-e5c2-4374-adc6-11f578883980,https://allegro.pl/,7240101683,"Proszek do prania uniwersalne Gama 6,5 kg",https://allegro.pl/oferta/proszek-vizir-do-prania-bialych-i-kolorowych-6-5kg-7240101683,DEU,1,0,0
5068,5069,2021-03-05T11:31:09.114Z,m...v,,Żadnej różnicy czy nasz krajowy czy z niemiec,neutral,,,3,POL,,,True,True,bb88fbeb-e5c2-4374-adc6-11f578883980,https://allegro.pl/,7240101683,"Proszek do prania uniwersalne Gama 6,5 kg",https://allegro.pl/oferta/proszek-vizir-do-prania-bialych-i-kolorowych-6-5kg-7240101683,DEU,0,0,0
5075,5076,2021-01-28T21:31:05.320Z,d...m,,"proszek jak proszek, tylko ta wydajnośc lepsza niż jego polskiej wersji. ""Niemieckie wydanie"" wystarcza na znacznie dłużej.",positive,,,5,POL,,,True,True,bb88fbeb-e5c2-4374-adc6-11f578883980,https://allegro.pl/,7240101683,"Proszek do prania uniwersalne Gama 6,5 kg",https://allegro.pl/oferta/proszek-vizir-do-prania-bialych-i-kolorowych-6-5kg-7240101683,DEU,0,0,0
5141,5142,2020-08-15T20:27:42.664Z,C...6,,Ładny zapach moim zdaniem jest lepszy od VIZIRU z biedronki . ,positive,,,5,POL,,,True,True,bb88fbeb-e5c2-4374-adc6-11f578883980,https://allegro.pl/,7240101683,"Proszek do prania uniwersalne Gama 6,5 kg",https://allegro.pl/oferta/proszek-vizir-do-prania-bialych-i-kolorowych-6-5kg-7240101683,DEU,0,0,0
5147,5148,2020-08-03T20:27:40.795Z,R...a,,"Następca Viziru - proszku Vizir używam od wielu lat i jestem mega zadowolony, lepszego nie miałem jeszcze okazji testować. Mam wrażenie, że ostatnimi czasy jakość spadła nieco i może dlatego zmienili markę, nie jest on już produkowany w Niemczech (choć nadal jest faktycznie na rynek niemiecki i szwajcarski). Mimo wszystko jest to ciągle najlepszy znany mi proszek do prania, o dużej wydajności, nie niszczący odzieży. Przede wszystkim pranie po nim nie ma żadnego intensywnego zapachu ani po wyjęciu z pralki NIE pachnie... moczem (przez chwilę, ale jednak), co jest prawie normą w wielu konkurencyjnych proszkach. Za to go uwielbiam, nie lubię ""perfumowanych"" mocno proszków.",positive,,,5,POL,,,True,True,bb88fbeb-e5c2-4374-adc6-11f578883980,https://allegro.pl/,7240101683,"Proszek do prania uniwersalne Gama 6,5 kg",https://allegro.pl/oferta/proszek-vizir-do-prania-bialych-i-kolorowych-6-5kg-7240101683,DEU,1,0,1
5219,5220,2020-04-04T17:38:22.907Z,j...a,,Vizir jak Vizir. Trochę lepszy niż dostępny w polskich sklepach. ,positive,,,5,POL,,,True,True,bb88fbeb-e5c2-4374-adc6-11f578883980,https://allegro.pl/,7240101683,"Proszek do prania uniwersalne Gama 6,5 kg",https://allegro.pl/oferta/proszek-vizir-do-prania-bialych-i-kolorowych-6-5kg-7240101683,DEU,0,0,0
5221,5222,2020-04-01T16:19:48.641Z,z...1,,"Świetna, niemiecka jakość produktu. polecam",positive,,,5,POL,,,True,True,bb88fbeb-e5c2-4374-adc6-11f578883980,https://allegro.pl/,7240101683,"Proszek do prania uniwersalne Gama 6,5 kg",https://allegro.pl/oferta/proszek-vizir-do-prania-bialych-i-kolorowych-6-5kg-7240101683,DEU,1,0,0
5262,5263,2019-11-27T21:52:08.689Z,w...3,,"Kupuję już długo Vizir z zachodu z powodu świetnej jakości, dobrze pierze, ładnie pachnie.",positive,,,5,POL,,,True,True,bb88fbeb-e5c2-4374-adc6-11f578883980,https://allegro.pl/,7240101683,"Proszek do prania uniwersalne Gama 6,5 kg",https://allegro.pl/oferta/proszek-vizir-do-prania-bialych-i-kolorowych-6-5kg-7240101683,DEU,0,0,0
5287,5288,2019-08-25T09:53:10.830Z,B...n,,"Proszek jak to proszek, niemiecka chemia.",positive,,,5,POL,,,True,True,bb88fbeb-e5c2-4374-adc6-11f578883980,https://allegro.pl/,7240101683,"Proszek do prania uniwersalne Gama 6,5 kg",https://allegro.pl/oferta/proszek-vizir-do-prania-bialych-i-kolorowych-6-5kg-7240101683,DEU,0,0,0
5304,5305,2019-05-19T15:28:47.451Z,a...o,,"Jakość i skuteczność proszku przeciętna  może dlatego, że  nie jest to oryginalny produkt produkowany na rynek zachodni.",neutral,,,3,POL,,,True,True,bb88fbeb-e5c2-4374-adc6-11f578883980,https://allegro.pl/,7240101683,"Proszek do prania uniwersalne Gama 6,5 kg",https://allegro.pl/oferta/proszek-vizir-do-prania-bialych-i-kolorowych-6-5kg-7240101683,DEU,0,0,0
5407,5408,2020-06-20T10:57:12.973Z,a...0,,żona mówi że jest lepszy niż polski,positive,,,5,POL,,1.0,True,True,bb88fbeb-e5c2-4374-adc6-11f578883980,https://allegro.pl/,7240101683,"Proszek do prania uniwersalne Gama 6,5 kg",https://allegro.pl/oferta/proszek-vizir-do-prania-bialych-i-kolorowych-6-5kg-7240101683,DEU,0,0,0
5439,5440,2022-07-18T14:40:55.356Z,C...8,,Wydaje mi się że kiedyś był lepszy ale nadal jest nad polskimi proszkami,positive,,,4,POL,,,True,True,d09ae2c3-5159-439a-ad41-bdd8dd1139fa,https://allegro.pl/,12700621979,"Proszek do prania uniwersalne Gama 8,45 kg",https://allegro.pl/oferta/vizir-gama-proszek-do-prania-130pr-8-45kg-de-12700621979,DEU,0,0,0
5585,5586,2022-02-15T10:38:27.779Z,e...2,,na zdjęciu niemiecki a w rzeczywistości polski,positive,,,4,POL,2.0,,True,True,7050b4b9-97be-4d91-af21-df3eb4edc308,https://allegro.pl/,11825912291,"Proszek do prania kolorów Lenor 3,9 kg",https://allegro.pl/oferta/lenor-proszek-do-prania-color-goldene-3-9kg-11825912291,DEU,0,0,0
5588,5589,2022-02-18T14:49:29.394Z,o...3,,"Proszek miał być niemiecki , a przyjechał opisany po polsku. Ale zapach ok.",positive,,,4,POL,1.0,,True,True,7050b4b9-97be-4d91-af21-df3eb4edc308,https://allegro.pl/,11825912291,"Proszek do prania kolorów Lenor 3,9 kg",https://allegro.pl/oferta/lenor-proszek-do-prania-color-goldene-3-9kg-11825912291,DEU,0,0,0
5615,5616,2022-04-13T17:40:52.201Z,C...1,,"oferta na stronie jako produkt niemiecki ,w rzeczywistości produkt czeski ,wprowadzanie w błąd klienta",positive,,,4,POL,,,True,True,7050b4b9-97be-4d91-af21-df3eb4edc308,https://allegro.pl/,11825912291,"Proszek do prania kolorów Lenor 3,9 kg",https://allegro.pl/oferta/lenor-proszek-do-prania-color-goldene-3-9kg-11825912291,DEU,0,0,0
5618,5619,2022-03-27T13:41:38.186Z,d...1,,super produkt -niemiecki,positive,,,5,POL,,,True,True,7050b4b9-97be-4d91-af21-df3eb4edc308,https://allegro.pl/,11825912291,"Proszek do prania kolorów Lenor 3,9 kg",https://allegro.pl/oferta/lenor-proszek-do-prania-color-goldene-3-9kg-11825912291,DEU,1,0,0
6702,6703,2022-08-15T15:49:30.359Z,y...7,,"Super. Pierze jak reklamowane, a sypie się go mniej(jest bardzo wydajny), nie pachnie agresywnie, jest poprostu lepszy",positive,,,5,POL,,,True,True,2b287d9e-3fde-425c-9f1c-11b7b4c7d7a1,https://allegro.pl/,11088942757,Proszek do prania kolorów Mr. Ziggi 5 kg,https://allegro.pl/oferta/mr-ziggi-proszek-do-prania-color-5kg-dezynfekujacy-11088942757,POL,2,0,1
6743,6744,2022-06-16T08:44:06.154Z,k...a,,"najlepszy proszek na rynku, najlepszy bo polski",positive,,,5,POL,,,True,True,2b287d9e-3fde-425c-9f1c-11b7b4c7d7a1,https://allegro.pl/,11088942757,Proszek do prania kolorów Mr. Ziggi 5 kg,https://allegro.pl/oferta/mr-ziggi-proszek-do-prania-color-5kg-dezynfekujacy-11088942757,POL,1,0,0
6758,6759,2022-06-16T08:44:06.154Z,k...a,,"najlepszy proszek na rynku, najlepszy bo polski",positive,,,5,POL,,,True,True,2b287d9e-3fde-425c-9f1c-11b7b4c7d7a1,https://allegro.pl/,11088942757,Proszek do prania kolorów Mr. Ziggi 5 kg,https://allegro.pl/oferta/mr-ziggi-proszek-do-prania-color-5kg-dezynfekujacy-11088942757,POL,1,0,0
6998,6999,2022-01-16T11:44:48.738Z,-...1,,"Może pierze dobrze, ale na ciemnych ubraniach zostawia plamy. I to nie jest kwestia pralki, bo od kilku lat piorę w różnych proszkach. Pierwszy raz coś takiego mnie spotkało. Pachnie szpitalem. Na pewno więcej nie kupię :-(",negative,,,2,POL,,1.0,True,True,2b287d9e-3fde-425c-9f1c-11b7b4c7d7a1,https://allegro.pl/,11088942757,Proszek do prania kolorów Mr. Ziggi 5 kg,https://allegro.pl/oferta/mr-ziggi-proszek-do-prania-color-5kg-dezynfekujacy-11088942757,POL,0,0,0
7062,7063,2020-12-20T20:57:11.329Z,b...t,,"chemia nie z polskiego rynku, jakość lepsza niż w naszych sklepach",positive,,,5,POL,,,True,True,a2183647-f9fa-44ba-933b-8a1dcadb8961,https://allegro.pl/,12476249904,Proszek do prania kolorów Omo 7 kg,https://allegro.pl/oferta/proszek-do-prania-kolorow-omo-7-kg-12476249904,UE,0,0,0
7074,7075,2022-05-10T07:49:27.288Z,D...R,,"Proszek jak proszek. Nie wiem skąd te zachwyty nad niemiecką jakością. Skusiłam się pierwszy raz w życiu, bo wszyscy tutaj pieją nad zapachem i praniem. Zapachu zero, pierze dobrze. Tyle w temacie.",positive,,,4,POL,2.0,4.0,True,True,778c75b3-3423-4b14-8393-17b5d864d457,https://allegro.pl/,12646209462,"Proszek do prania kolorów Persil 8,45 kg",https://allegro.pl/oferta/de-persil-color-proszek-do-prania-8-45-kg-12646209462,DEU,0,0,0
7097,7098,2022-05-12T18:56:54.995Z,p...4,,Niemieckie proszki do prania zawsze są najlepsze.,positive,,,5,POL,,,True,True,778c75b3-3423-4b14-8393-17b5d864d457,https://allegro.pl/,12646209462,"Proszek do prania kolorów Persil 8,45 kg",https://allegro.pl/oferta/de-persil-color-proszek-do-prania-8-45-kg-12646209462,DEU,0,0,0
7117,7118,2022-03-05T00:17:06.223Z,l...1,,"polski produkt się umywa,niby to samo ale do tego można powiedzieć  pierzesz w proszku,standard jak nas niemcy oszukują",positive,,,5,POL,,,True,True,778c75b3-3423-4b14-8393-17b5d864d457,https://allegro.pl/,12646209462,"Proszek do prania kolorów Persil 8,45 kg",https://allegro.pl/oferta/de-persil-color-proszek-do-prania-8-45-kg-12646209462,DEU,0,0,0
7138,7139,2021-11-19T06:22:21.450Z,B...6,,"Nie ma jak niemiecka jakość, kupuję regularnie.",positive,,,5,POL,,,True,True,778c75b3-3423-4b14-8393-17b5d864d457,https://allegro.pl/,12646209462,"Proszek do prania kolorów Persil 8,45 kg",https://allegro.pl/oferta/de-persil-color-proszek-do-prania-8-45-kg-12646209462,DEU,0,0,0
7140,7141,2021-11-05T14:49:55.035Z,a...n,,"NIEMIECKI, PACHNĄCY.  POLECAM  !!!",positive,,,5,POL,,,True,True,778c75b3-3423-4b14-8393-17b5d864d457,https://allegro.pl/,12646209462,"Proszek do prania kolorów Persil 8,45 kg",https://allegro.pl/oferta/de-persil-color-proszek-do-prania-8-45-kg-12646209462,DEU,1,0,0
