Text,Origin,IsDoubleQuality
Wydaje mi się że kiedyś był lepszy ale nadal jest nad polskimi proszkami,POL,1
na zdjęciu niemiecki a w rzeczywistości polski,POL,1
"Proszek miał być niemiecki , a przyjechał opisany po polsku. Ale zapach ok.",POL,1
"oferta na stronie jako produkt niemiecki ,w rzeczywistości produkt czeski ,wprowadzanie w błąd klienta",POL,1
super produkt -niemiecki,POL,1
"Super. Pierze jak reklamowane, a sypie się go mniej(jest bardzo wydajny), nie pachnie agresywnie, jest poprostu lepszy",POL,1
"najlepszy proszek na rynku, najlepszy bo polski",POL,1
"najlepszy proszek na rynku, najlepszy bo polski",POL,1
"Może pierze dobrze, ale na ciemnych ubraniach zostawia plamy. I to nie jest kwestia pralki, bo od kilku lat piorę w różnych proszkach. Pierwszy raz coś takiego mnie spotkało. Pachnie szpitalem. Na pewno więcej nie kupię :-(",POL,1
"chemia nie z polskiego rynku, jakość lepsza niż w naszych sklepach",POL,1
"Proszek jak proszek. Nie wiem skąd te zachwyty nad niemiecką jakością. Skusiłam się pierwszy raz w życiu, bo wszyscy tutaj pieją nad zapachem i praniem. Zapachu zero, pierze dobrze. Tyle w temacie.",POL,1
Niemieckie proszki do prania zawsze są najlepsze.,POL,1
"polski produkt się umywa,niby to samo ale do tego można powiedzieć  pierzesz w proszku,standard jak nas niemcy oszukują",POL,1
"Nie ma jak niemiecka jakość, kupuję regularnie.",POL,1
"NIEMIECKI, PACHNĄCY.  POLECAM  !!!",POL,1
"Wygląda na to, że proszek dobry, nie robiony na wschód, tak jak te w sklepach w Polsce.",POL,1
Niemiecka chemia jest najlepsza.,POL,1
Prawdziwy niemiecki proszek pięknie pachnie,POL,1
W 100% zgodne z opisem a jakosc - wiadomo niemiecka....,POL,1
Lepszy niż Polski. Co niemiecki proszek to równa się doprane ubrania. Przy małym dziecku sprawdza się rewelacyjnie. Nie uczula. ,POL,1
"Świetny na ciężki brud. W pralce może nie mieć okazji, by pokazać pełnię swoich możliwości - polecam przed praniem powrócić do namaczania: max. 1/3 szklanki na umywalkę wody, rozpuścić w gorącej wodzie. Po ostygnięciu wrzucić do długiego namoczenia zszarzałą bieliznę, niegdyś białą bawełnę czy poplamione obrusy. Moczyć kilka godzin, co jakiś czas lekko przeprać i zostawić. Przy bardzo dużych zabrudzeniach może być potrzebna druga zmiana proszku z wodą i klejne godziny namaczania. Najwygodniej zostawiać na noc. Proszek pomaga odzyskać dawną śnieżną biel, czystość bielizny, odplamić obrusy ze starych plam, doprać białe skarpetki po spacerach boso. Genialny. Ale tylko opcja na rynek niemiecki (waga 8,45 kg) - holenderskie nie są tak skuteczne. Ten zawiera aż tyle niebieskich granulek, że barwi wodę na niebiesko. Polecam gorąco!",POL,1
Jak zwykle zachodnia jakość która widać już po pierwszym peaniu ,POL,1
"Dobry proszek, niemiecka jakość. Opakowania wystarczy na długo.",POL,1
super jakość...na zachodni rynek ,POL,1
"Dobrze pierze. Próbowałem tańszych niemieckich proszków z innych zakupów, ale żaden z nich nie spełniał moich oczekiwań. Lepiej dopłacić i kupić ten proszek. Polecam.",POL,1
Najlepsze proszki od Niemchem,POL,1
super dopiera i co ważne na niemiecki rynek,POL,1
Proszek z metką niemiecką. Chyba nie trzeba nic więcej na ten temat pisać. Polecam,POL,1
Niemiecka jakosc super ,POL,1
"Pierze jak polski produkt, a jest niemieckim produktem. No w skrócie nie ma szału... normalnie pachnie jak polski. nic szczególnego...",POL,1
"Proszek ma specyficzny niemiecki bardzo silny zapach, który nie każdemu może pasować.Jest bardziej zbity ,dlatego wygląda na mniejszą ilość od innych firm.",POL,1
"Widzę że większość ma rację. Te kilka negatywnych ocen jest wyssana z palca, zawsze znajdzie się ktoś, komu nic nie pasuje i zawsze będą biadolić. Proszek jest faktycznie dobry a nawet lepszy od tych 2 razy droższych. Po praniu ubrania wyglądają jak nowe. Bardzo ładnie pachnie i dość intensywnie. Ubranie po praniu pachną bardzo delikatnie, prawdopodobnie u każdego w innym natężeniu - różne pralki różnie płuczą. Dla mnie bardzo delikatny zapach jest na plus - nie chcę pachnieć proszkiem :) nawet jak ma przyjemny zapach.  Kod na opakowaniu pokazuje że był wyprodukowany w Niemczech a nie jak przy wielu proszkach - napisane że w wyprodukowany w Niemczech a kod mówi co innego. Jest tak jak inni piszą że jest różnica w objętości i tej samej masy w porównaniu z innymi proszkami. Proszek na swoją objętość jest ciężki, ale to w niczym mi nie przeszkadza, widocznie tak ma być - ważne jest to że robi swoje. Ludzie chwalą swoje drobie proszki, przodujących firm bo wydali na nie kupę pieniędzy i uwierzyli reklamie robiącej pranie mózgu a w rzeczywistości nie są takie dobre jak się o nich mówi. Dobra reklama i plotki ludzi z byle czego ""zrobi"" świetny produkt w który uwierzą tłumy... Z pewnością kupię ten proszek ponownie, oby firma utrzymała tę jakość i przez oszczędności i jakości surowców nie ""spadli"" w dół, tak jak to robią przodujące firmy proszków. Przy innych proszkach swędzą mnie oczy i cieknie z nosa, przy tym nie. Ten proszek jest godny polecenia.",POL,1
Proszę najtańszy nie dociera nic i pachnie tylko w opakowaniu . Przy rozwieszaniu nie czuć NIC.  POLSKIE najtańsze proszki są tak samo nic nie warte co NIEMIECKIE najtansze,POL,1
Towar nie ustępuje produktom w marketach. Wydaje mi się że jest nawet lepszy. No i fajnie pachnie pranie.,POL,1
"Osobiście go nie używam, ale moja baba jest zachwycona tym proszkiem. Mówi, że pierze znacznie lepiej od proszków z sieci dyskontów (tej z owadem, oraz tej niemieckiej). Za te cenę jest na prawdę dobry. Kupiłem 20kg jako prezent na dzień kobiet i prezent okazał się być bardzo trafiony.",POL,1
Cena idzie w parze z jakością. Nie jest to niemiecki proszek ani też klasy niemieckiego np. persila. Być może jest to produkt na export albo chwyt marketingowy. Bądź co bądź i tak warty zakupu.,POL,1
"Proszek wg. opisu powinien być niemiecki, a jest wyprodukowany w Polsce. Wiadomo, że produkty oryginalne niemieckie lub na rynek niemiecki są lepszej jakości, a na polski są gorsze, nawet robione przez firmy niemieckie.",POL,1
pomimo produkcji przez clovin proszek trochę lepszy od normalnych krajowych serii,POL,1
niemożliwe? niemiecki a do niczego,POL,1
Proszek na pewno nie jest niemiecki. Jest to podróba. Bardzo się zawiodłam bo nawet najmniejszych  plam nie odpiera ani w 40' ani w 60 stopniach. Wyrzuciłam pieniądze w błoto. Nie polecam!,POL,1
"proszek OK.zapach intensywny przyjemny.pierze dobrze,ciuchy pachną.niemiecka chemia zawsze była o niebo lepsza niż nasza.biorąc na ręke dwa proszki tej samej firmy niemiecki i polski wyglądają jak dwa różne.czyli nie niemcy a nasi nas szwabią.",POL,1
"Ten proszek używam już po raz kolejny i testowała tez teściowa. Nadzwyczaj dobrze się sprawuje. O wiele lepszy od kupowanego kiedyś w Lidlu - proszek Czeski. Dobrze sie rozpuszcza i nie zostawia smug, czy śladów.. Polecam, warto przetestować..",POL,1
ten proszek niby niemiecki on nawet nie stał przy takim!,POL,1
Proszek WaschPulver na pewno lepszy niż proszki z marketu. Zapach po praniu niewyczuwalny. Skuteczny. Polecam. ,POL,1
"Zawsze byłem bardzo zadowolony z proszku do mycia cytrusowego, właśnie z powodu silnie cytronowego zapachu.Najwyraźniej nowe opakowanie również zmieniło również przepis.Teraz pachnie raczej kwiecistym.Szkoda!Znalazłem lepsze wcześniej. Wynik mycia wydaje się być dobry niezmieniony.",DEU,1
"Zamówiłem te zakładki, ponieważ dużo podróżuję profesjonalnie. Jestem bardzo zadowolony z zakładek.W przypadku mycia rąk w zlewie, ale tak naprawdę tego nie robisz - tak naprawdę tego nie robisz, ale jeśli podróżujesz na całym świecie, czasami musisz się tak zachowywać ... Jestem naprawdę bardzo zadowolony!.---.Niestety muszę poprawić swoją ocenę .. W ramce 2 i 3 wiele strąków było „przyklejonych”, jak na zdjęciach… właściwie wstyd!",DEU,1
"To musi być jeden z najbardziej niezrozumianych produktów, jakie mogę wymyślić.I istnieją niezliczone recenzje marki, ale prawie niemożliwe jest stwierdzenie, które z wielu wariancji mówią, zwłaszcza ten o produkcie, który jest dla obu Amerykw Niemczech.Mogę tylko odczytać każde słowo opisu produktu, aby upewnić się, że otrzymujesz to, czego oczekujesz.Drugą rzeczą jest ogromna wariancja cenowa, jest znaczna, a jeśli musisz zapłacić, aby otrzymać ją, która może prawie podwoić cenę, pudełko detergentu jest bardzo ciężkie. Otrzymałem rozmiar 44 obciążenia zaDługo, aż cena gwałtownie wzrosła.I chociaż tym razem może się to zmienić codziennie, a nawet minuta na minutę, skończyłem z megapackem MEGAPACK 100.Dołączyłem zdjęcie, aby pokazać różnicę wielkości, nie jest to drobny szczegół.Ale to była najlepsza oferta w tym czasie i użyjemy jej - ostatecznie .. Jeśli chodzi o to, jak dobrze się czyszczy, możesz przeczytać wszystkie 10 000 recenzji i nadal nie wiedzieć, jak to będzie działać w pralce, z wodą, na twojejodzież.Jest tylko jeden sposób, aby dowiedzieć się tego, co ma go kupić i wypróbować dla siebie.Mogę tylko doradzić, że jeśli dostaniesz prawdziwe rzeczy bezpośrednio z Niemiec, prawdopodobnie przekonasz się, że to, co wszyscy mówią, jest prawdą.To prawdopodobnie najlepszy detergent do prania, jaki możesz uzyskać.",OT: (Recenzowano w Stanach Zjednoczonych 🇺🇸 w dniu 30 stycznia 2021),1
"To jedyny detergent, którego używamy w podkładce z przodu.Powiedziano nam kiedyś, aby używać Persli z Europy, i to właśnie zrobiliśmy. Nigdy nie mieliśmy problemu związanego z detergentem z naszą pralką.",OT: (Opinia napisana w Kanadzie dnia 12 grudnia 2021),1
"Najwyższy detergent prania.Tęsknię za tym detergentem, odkąd mieszkałem za granicą w Europie przez rok. Szkoda, że nie mieliśmy tego tutaj, ale Amerykanie z Ameryki Północnej nie lubią dobrej jakości i pomiaru detergentu. Kupiłbym ponownie, jeśli mniej niż 100 USD ...",OT: (Opinia napisana w Kanadzie dnia 19 maja 2020),1
